filepath,class,source
dataset\kaleng\20260901_215334_659893 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215334_659893.jpg,kaleng,real
dataset\kaleng\20260901_215337_316716 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215337_316716 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215337_316716 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215337_316716.jpg,kaleng,real
dataset\kaleng\20260901_215339_077030 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215339_077030 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215339_077030 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215339_077030.jpg,kaleng,real
dataset\kaleng\20260901_215341_683840 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215341_683840 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215341_683840 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215341_683840.jpg,kaleng,real
dataset\kaleng\20260901_215345_613754 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215345_613754 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215345_613754 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215345_613754.jpg,kaleng,real
dataset\kaleng\20260901_215347_702801 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215347_702801 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215347_702801 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215347_702801.jpg,kaleng,real
dataset\kaleng\20260901_215351_663148 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215351_663148 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215351_663148 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215351_663148.jpg,kaleng,real
dataset\kaleng\20260901_215354_312548 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215354_312548 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215354_312548 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215354_312548.jpg,kaleng,real
dataset\kaleng\20260901_215356_849146 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215356_849146 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215356_849146 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215356_849146.jpg,kaleng,real
dataset\kaleng\20260901_215358_906403 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215358_906403 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215358_906403 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215358_906403.jpg,kaleng,real
dataset\kaleng\20260901_215403_080870 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215403_080870 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215403_080870 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215403_080870.jpg,kaleng,real
dataset\kaleng\20260901_215405_994065 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215405_994065 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215405_994065 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215405_994065.jpg,kaleng,real
dataset\kaleng\20260901_215408_040683 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215408_040683 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215408_040683 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215408_040683.jpg,kaleng,real
dataset\kaleng\20260901_215410_051609 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215410_051609 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215410_051609 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215410_051609.jpg,kaleng,real
dataset\kaleng\20260901_215412_314518 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215412_314518 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215412_314518 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215412_314518.jpg,kaleng,real
dataset\kaleng\20260901_215414_063961_plastik_0.50 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215414_063961_plastik_0.50 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215414_063961_plastik_0.50 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215414_063961_plastik_0.50.jpg,kaleng,real
dataset\kaleng\20260901_215506_766432 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215506_766432 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215506_766432 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215506_766432.jpg,kaleng,real
dataset\kaleng\20260901_215515_267434 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215515_267434 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215515_267434 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215515_267434.jpg,kaleng,real
dataset\kaleng\20260901_215517_679069 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215517_679069 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215517_679069 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215517_679069.jpg,kaleng,real
dataset\kaleng\20260901_215519_381402 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215519_381402 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215519_381402 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215519_381402.jpg,kaleng,real
dataset\kaleng\20260901_215521_379891 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215521_379891 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215521_379891 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215521_379891.jpg,kaleng,real
dataset\kaleng\20260901_215524_458222_plastik_0.47 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215524_458222_plastik_0.47 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215524_458222_plastik_0.47 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215524_458222_plastik_0.47.jpg,kaleng,real
dataset\kaleng\20260901_215528_879584 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215528_879584 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215528_879584 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215528_879584.jpg,kaleng,real
dataset\kaleng\20260901_215531_478871 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215531_478871 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215531_478871 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215531_478871.jpg,kaleng,real
dataset\kaleng\20260901_215534_433261_kertas_0.50 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215534_433261_kertas_0.50 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215534_433261_kertas_0.50 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215534_433261_kertas_0.50.jpg,kaleng,real
dataset\kaleng\20260901_215542_873984_kertas_0.45 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215542_873984_kertas_0.45 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215542_873984_kertas_0.45 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215542_873984_kertas_0.45.jpg,kaleng,real
dataset\kaleng\20260901_215547_756371 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215547_756371 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215547_756371 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215547_756371.jpg,kaleng,real
dataset\kaleng\20260901_215555_179285_kaleng_0.56 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215555_179285_kaleng_0.56 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215555_179285_kaleng_0.56 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215555_179285_kaleng_0.56.jpg,kaleng,real
dataset\kaleng\20260901_215558_040207 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215558_040207 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215558_040207 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215558_040207.jpg,kaleng,real
dataset\kaleng\20260901_215600_341274_plastik_0.41 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215600_341274_plastik_0.41 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215600_341274_plastik_0.41 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215600_341274_plastik_0.41.jpg,kaleng,real
dataset\kaleng\20260901_215607_381964_kertas_0.60 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215607_381964_kertas_0.60 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215607_381964_kertas_0.60 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215607_381964_kertas_0.60.jpg,kaleng,real
dataset\kaleng\20260901_215611_939663 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215611_939663 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215611_939663 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215611_939663.jpg,kaleng,real
dataset\kaleng\20260901_215613_909893 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215613_909893 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215613_909893 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215613_909893.jpg,kaleng,real
dataset\kaleng\20260901_215616_316866 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215616_316866 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215616_316866 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215616_316866.jpg,kaleng,real
dataset\kaleng\20260901_215622_349283 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215622_349283 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215622_349283 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215622_349283.jpg,kaleng,real
dataset\kaleng\20260901_215625_602886 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215625_602886 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215625_602886 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215625_602886.jpg,kaleng,real
dataset\kaleng\20260901_215629_417283 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215629_417283 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215629_417283 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215629_417283.jpg,kaleng,real
dataset\kaleng\20260901_215631_583558 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215631_583558 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215631_583558 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215631_583558.jpg,kaleng,real
dataset\kaleng\20260901_215633_944940_kertas_0.52 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215633_944940_kertas_0.52 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215633_944940_kertas_0.52 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215633_944940_kertas_0.52.jpg,kaleng,real
dataset\kaleng\20260901_215637_753054 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215637_753054 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215637_753054 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215637_753054.jpg,kaleng,real
dataset\kaleng\20260901_215640_577890 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215640_577890 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215640_577890 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215640_577890.jpg,kaleng,real
dataset\kaleng\20260901_215642_514621 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215642_514621 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215642_514621 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215642_514621.jpg,kaleng,real
dataset\kaleng\20260901_215645_341428 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215645_341428 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215645_341428 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215645_341428.jpg,kaleng,real
dataset\kaleng\20260901_215650_106738 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215650_106738 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215650_106738 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215650_106738.jpg,kaleng,real
dataset\kaleng\20260901_215653_253856 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215653_253856 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215653_253856 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215653_253856.jpg,kaleng,real
dataset\kaleng\20260901_215657_110518 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215657_110518 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215657_110518 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215657_110518.jpg,kaleng,real
dataset\kaleng\20260901_215701_367794 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215701_367794 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215701_367794 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215701_367794.jpg,kaleng,real
dataset\kaleng\20260901_215707_726801 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215707_726801 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215707_726801 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215707_726801.jpg,kaleng,real
dataset\kaleng\20260901_215713_641825 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215713_641825 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215713_641825 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215713_641825.jpg,kaleng,real
dataset\kaleng\20260901_215718_350472 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215718_350472 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215718_350472 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215718_350472.jpg,kaleng,real
dataset\kaleng\20260901_215724_979231 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215724_979231 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215724_979231 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215724_979231.jpg,kaleng,real
dataset\kaleng\20260901_215737_308293_plastik_0.60 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215737_308293_plastik_0.60 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215737_308293_plastik_0.60 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215737_308293_plastik_0.60.jpg,kaleng,real
dataset\kaleng\20260901_215742_572894 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215742_572894 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215742_572894 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215742_572894.jpg,kaleng,real
dataset\kaleng\20260901_215755_670131 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215755_670131 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215755_670131 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215755_670131.jpg,kaleng,real
dataset\kaleng\20260901_215801_761807 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215801_761807 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215801_761807 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215801_761807.jpg,kaleng,real
dataset\kaleng\20260901_215804_109696_plastik_0.55 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215804_109696_plastik_0.55 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215804_109696_plastik_0.55 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215804_109696_plastik_0.55.jpg,kaleng,real
dataset\kaleng\20260901_215806_874753_plastik_0.46 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215806_874753_plastik_0.46 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215806_874753_plastik_0.46 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215806_874753_plastik_0.46.jpg,kaleng,real
dataset\kaleng\20260901_215808_986207_plastik_0.45 - Copy (2).jpg,kaleng,real
dataset\kaleng\20260901_215808_986207_plastik_0.45 - Copy - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215808_986207_plastik_0.45 - Copy.jpg,kaleng,real
dataset\kaleng\20260901_215808_986207_plastik_0.45.jpg,kaleng,real
dataset\kaleng\crop_20260827_125112_405989 - Copy.jpg,kaleng,real
dataset\kaleng\crop_20260827_125112_405989.jpg,kaleng,real
dataset\kaleng\crop_20260827_125129_033303 - Copy.jpg,kaleng,real
dataset\kaleng\crop_20260827_125129_033303.jpg,kaleng,real
dataset\kaleng\metal1.jpg,kaleng,trashnet
dataset\kaleng\metal10.jpg,kaleng,trashnet
dataset\kaleng\metal100.jpg,kaleng,trashnet
dataset\kaleng\metal101.jpg,kaleng,trashnet
dataset\kaleng\metal102.jpg,kaleng,trashnet
dataset\kaleng\metal103.jpg,kaleng,trashnet
dataset\kaleng\metal104.jpg,kaleng,trashnet
dataset\kaleng\metal105.jpg,kaleng,trashnet
dataset\kaleng\metal106.jpg,kaleng,trashnet
dataset\kaleng\metal107.jpg,kaleng,trashnet
dataset\kaleng\metal108.jpg,kaleng,trashnet
dataset\kaleng\metal109.jpg,kaleng,trashnet
dataset\kaleng\metal11.jpg,kaleng,trashnet
dataset\kaleng\metal110.jpg,kaleng,trashnet
dataset\kaleng\metal111.jpg,kaleng,trashnet
dataset\kaleng\metal112.jpg,kaleng,trashnet
dataset\kaleng\metal113.jpg,kaleng,trashnet
dataset\kaleng\metal114.jpg,kaleng,trashnet
dataset\kaleng\metal115.jpg,kaleng,trashnet
dataset\kaleng\metal116.jpg,kaleng,trashnet
dataset\kaleng\metal117.jpg,kaleng,trashnet
dataset\kaleng\metal118.jpg,kaleng,trashnet
dataset\kaleng\metal119.jpg,kaleng,trashnet
dataset\kaleng\metal12.jpg,kaleng,trashnet
dataset\kaleng\metal120.jpg,kaleng,trashnet
dataset\kaleng\metal121.jpg,kaleng,trashnet
dataset\kaleng\metal122.jpg,kaleng,trashnet
dataset\kaleng\metal123.jpg,kaleng,trashnet
dataset\kaleng\metal124.jpg,kaleng,trashnet
dataset\kaleng\metal125.jpg,kaleng,trashnet
dataset\kaleng\metal126.jpg,kaleng,trashnet
dataset\kaleng\metal127.jpg,kaleng,trashnet
dataset\kaleng\metal128.jpg,kaleng,trashnet
dataset\kaleng\metal129.jpg,kaleng,trashnet
dataset\kaleng\metal13.jpg,kaleng,trashnet
dataset\kaleng\metal130.jpg,kaleng,trashnet
dataset\kaleng\metal131.jpg,kaleng,trashnet
dataset\kaleng\metal132.jpg,kaleng,trashnet
dataset\kaleng\metal133.jpg,kaleng,trashnet
dataset\kaleng\metal134.jpg,kaleng,trashnet
dataset\kaleng\metal135.jpg,kaleng,trashnet
dataset\kaleng\metal136.jpg,kaleng,trashnet
dataset\kaleng\metal137.jpg,kaleng,trashnet
dataset\kaleng\metal138.jpg,kaleng,trashnet
dataset\kaleng\metal139.jpg,kaleng,trashnet
dataset\kaleng\metal14.jpg,kaleng,trashnet
dataset\kaleng\metal140.jpg,kaleng,trashnet
dataset\kaleng\metal141.jpg,kaleng,trashnet
dataset\kaleng\metal142.jpg,kaleng,trashnet
dataset\kaleng\metal143.jpg,kaleng,trashnet
dataset\kaleng\metal144.jpg,kaleng,trashnet
dataset\kaleng\metal145.jpg,kaleng,trashnet
dataset\kaleng\metal146.jpg,kaleng,trashnet
dataset\kaleng\metal147.jpg,kaleng,trashnet
dataset\kaleng\metal148.jpg,kaleng,trashnet
dataset\kaleng\metal149.jpg,kaleng,trashnet
dataset\kaleng\metal15.jpg,kaleng,trashnet
dataset\kaleng\metal150.jpg,kaleng,trashnet
dataset\kaleng\metal151.jpg,kaleng,trashnet
dataset\kaleng\metal152.jpg,kaleng,trashnet
dataset\kaleng\metal153.jpg,kaleng,trashnet
dataset\kaleng\metal154.jpg,kaleng,trashnet
dataset\kaleng\metal155.jpg,kaleng,trashnet
dataset\kaleng\metal156.jpg,kaleng,trashnet
dataset\kaleng\metal157.jpg,kaleng,trashnet
dataset\kaleng\metal158.jpg,kaleng,trashnet
dataset\kaleng\metal159.jpg,kaleng,trashnet
dataset\kaleng\metal16.jpg,kaleng,trashnet
dataset\kaleng\metal160.jpg,kaleng,trashnet
dataset\kaleng\metal161.jpg,kaleng,trashnet
dataset\kaleng\metal162.jpg,kaleng,trashnet
dataset\kaleng\metal163.jpg,kaleng,trashnet
dataset\kaleng\metal164.jpg,kaleng,trashnet
dataset\kaleng\metal165.jpg,kaleng,trashnet
dataset\kaleng\metal166.jpg,kaleng,trashnet
dataset\kaleng\metal167.jpg,kaleng,trashnet
dataset\kaleng\metal168.jpg,kaleng,trashnet
dataset\kaleng\metal169.jpg,kaleng,trashnet
dataset\kaleng\metal17.jpg,kaleng,trashnet
dataset\kaleng\metal170.jpg,kaleng,trashnet
dataset\kaleng\metal171.jpg,kaleng,trashnet
dataset\kaleng\metal172.jpg,kaleng,trashnet
dataset\kaleng\metal173.jpg,kaleng,trashnet
dataset\kaleng\metal174.jpg,kaleng,trashnet
dataset\kaleng\metal175.jpg,kaleng,trashnet
dataset\kaleng\metal176.jpg,kaleng,trashnet
dataset\kaleng\metal177.jpg,kaleng,trashnet
dataset\kaleng\metal178.jpg,kaleng,trashnet
dataset\kaleng\metal179.jpg,kaleng,trashnet
dataset\kaleng\metal18.jpg,kaleng,trashnet
dataset\kaleng\metal180.jpg,kaleng,trashnet
dataset\kaleng\metal181.jpg,kaleng,trashnet
dataset\kaleng\metal182.jpg,kaleng,trashnet
dataset\kaleng\metal183.jpg,kaleng,trashnet
dataset\kaleng\metal184.jpg,kaleng,trashnet
dataset\kaleng\metal185.jpg,kaleng,trashnet
dataset\kaleng\metal186.jpg,kaleng,trashnet
dataset\kaleng\metal187.jpg,kaleng,trashnet
dataset\kaleng\metal188.jpg,kaleng,trashnet
dataset\kaleng\metal189.jpg,kaleng,trashnet
dataset\kaleng\metal19.jpg,kaleng,trashnet
dataset\kaleng\metal190.jpg,kaleng,trashnet
dataset\kaleng\metal191.jpg,kaleng,trashnet
dataset\kaleng\metal192.jpg,kaleng,trashnet
dataset\kaleng\metal193.jpg,kaleng,trashnet
dataset\kaleng\metal194.jpg,kaleng,trashnet
dataset\kaleng\metal195.jpg,kaleng,trashnet
dataset\kaleng\metal196.jpg,kaleng,trashnet
dataset\kaleng\metal197.jpg,kaleng,trashnet
dataset\kaleng\metal198.jpg,kaleng,trashnet
dataset\kaleng\metal199.jpg,kaleng,trashnet
dataset\kaleng\metal2.jpg,kaleng,trashnet
dataset\kaleng\metal20.jpg,kaleng,trashnet
dataset\kaleng\metal200.jpg,kaleng,trashnet
dataset\kaleng\metal201.jpg,kaleng,trashnet
dataset\kaleng\metal202.jpg,kaleng,trashnet
dataset\kaleng\metal203.jpg,kaleng,trashnet
dataset\kaleng\metal204.jpg,kaleng,trashnet
dataset\kaleng\metal205.jpg,kaleng,trashnet
dataset\kaleng\metal206.jpg,kaleng,trashnet
dataset\kaleng\metal207.jpg,kaleng,trashnet
dataset\kaleng\metal208.jpg,kaleng,trashnet
dataset\kaleng\metal209.jpg,kaleng,trashnet
dataset\kaleng\metal21.jpg,kaleng,trashnet
dataset\kaleng\metal210.jpg,kaleng,trashnet
dataset\kaleng\metal211.jpg,kaleng,trashnet
dataset\kaleng\metal212.jpg,kaleng,trashnet
dataset\kaleng\metal213.jpg,kaleng,trashnet
dataset\kaleng\metal214.jpg,kaleng,trashnet
dataset\kaleng\metal215.jpg,kaleng,trashnet
dataset\kaleng\metal216.jpg,kaleng,trashnet
dataset\kaleng\metal217.jpg,kaleng,trashnet
dataset\kaleng\metal218.jpg,kaleng,trashnet
dataset\kaleng\metal219.jpg,kaleng,trashnet
dataset\kaleng\metal22.jpg,kaleng,trashnet
dataset\kaleng\metal220.jpg,kaleng,trashnet
dataset\kaleng\metal221.jpg,kaleng,trashnet
dataset\kaleng\metal222.jpg,kaleng,trashnet
dataset\kaleng\metal223.jpg,kaleng,trashnet
dataset\kaleng\metal224.jpg,kaleng,trashnet
dataset\kaleng\metal225.jpg,kaleng,trashnet
dataset\kaleng\metal226.jpg,kaleng,trashnet
dataset\kaleng\metal227.jpg,kaleng,trashnet
dataset\kaleng\metal228.jpg,kaleng,trashnet
dataset\kaleng\metal229.jpg,kaleng,trashnet
dataset\kaleng\metal23.jpg,kaleng,trashnet
dataset\kaleng\metal230.jpg,kaleng,trashnet
dataset\kaleng\metal231.jpg,kaleng,trashnet
dataset\kaleng\metal232.jpg,kaleng,trashnet
dataset\kaleng\metal233.jpg,kaleng,trashnet
dataset\kaleng\metal234.jpg,kaleng,trashnet
dataset\kaleng\metal235.jpg,kaleng,trashnet
dataset\kaleng\metal236.jpg,kaleng,trashnet
dataset\kaleng\metal237.jpg,kaleng,trashnet
dataset\kaleng\metal238.jpg,kaleng,trashnet
dataset\kaleng\metal239.jpg,kaleng,trashnet
dataset\kaleng\metal24.jpg,kaleng,trashnet
dataset\kaleng\metal240.jpg,kaleng,trashnet
dataset\kaleng\metal241.jpg,kaleng,trashnet
dataset\kaleng\metal242.jpg,kaleng,trashnet
dataset\kaleng\metal243.jpg,kaleng,trashnet
dataset\kaleng\metal244.jpg,kaleng,trashnet
dataset\kaleng\metal245.jpg,kaleng,trashnet
dataset\kaleng\metal246.jpg,kaleng,trashnet
dataset\kaleng\metal247.jpg,kaleng,trashnet
dataset\kaleng\metal248.jpg,kaleng,trashnet
dataset\kaleng\metal249.jpg,kaleng,trashnet
dataset\kaleng\metal25.jpg,kaleng,trashnet
dataset\kaleng\metal250.jpg,kaleng,trashnet
dataset\kaleng\metal251.jpg,kaleng,trashnet
dataset\kaleng\metal252.jpg,kaleng,trashnet
dataset\kaleng\metal253.jpg,kaleng,trashnet
dataset\kaleng\metal254.jpg,kaleng,trashnet
dataset\kaleng\metal255.jpg,kaleng,trashnet
dataset\kaleng\metal256.jpg,kaleng,trashnet
dataset\kaleng\metal257.jpg,kaleng,trashnet
dataset\kaleng\metal258.jpg,kaleng,trashnet
dataset\kaleng\metal259.jpg,kaleng,trashnet
dataset\kaleng\metal26.jpg,kaleng,trashnet
dataset\kaleng\metal260.jpg,kaleng,trashnet
dataset\kaleng\metal261.jpg,kaleng,trashnet
dataset\kaleng\metal262.jpg,kaleng,trashnet
dataset\kaleng\metal263.jpg,kaleng,trashnet
dataset\kaleng\metal264.jpg,kaleng,trashnet
dataset\kaleng\metal265.jpg,kaleng,trashnet
dataset\kaleng\metal266.jpg,kaleng,trashnet
dataset\kaleng\metal267.jpg,kaleng,trashnet
dataset\kaleng\metal268.jpg,kaleng,trashnet
dataset\kaleng\metal269.jpg,kaleng,trashnet
dataset\kaleng\metal27.jpg,kaleng,trashnet
dataset\kaleng\metal270.jpg,kaleng,trashnet
dataset\kaleng\metal271.jpg,kaleng,trashnet
dataset\kaleng\metal272.jpg,kaleng,trashnet
dataset\kaleng\metal273.jpg,kaleng,trashnet
dataset\kaleng\metal274.jpg,kaleng,trashnet
dataset\kaleng\metal275.jpg,kaleng,trashnet
dataset\kaleng\metal276.jpg,kaleng,trashnet
dataset\kaleng\metal277.jpg,kaleng,trashnet
